recipe_id,title,description,preparation_time,cooking_time,servings,calories_per_serving,protein_grams,carbs_grams,fat_grams,recipe_category,instructions,image_url
1,Overnight Oats with Berries,A simple nutritious breakfast that can be prepared the night before.,10,0,1,350,15.2,45.6,12.3,breakfast,Mix oats with milk and yogurt. Add honey for sweetness. Top with mixed berries and nuts. Refrigerate overnight.,https://example.com/images/overnight-oats.jpg
2,Grilled Chicken Salad,A protein-rich salad perfect for lunch or a light dinner.,15,20,2,420,32.5,18.7,22.4,lunch,Season chicken breast with herbs and grill. Chop lettuce tomatoes cucumber and bell peppers. Make a vinaigrette with olive oil and balsamic vinegar. Combine all ingredients.,https://example.com/images/grilled-chicken-salad.jpg
3,Salmon with Roasted Vegetables,A heart-healthy dinner option rich in omega-3 fatty acids.,20,25,2,480,36.8,22.3,25.9,dinner,Season salmon fillets with salt pepper and lemon. Chop bell peppers zucchini and red onion. Toss vegetables with olive oil and herbs. Roast vegetables at 400°F for 15 minutes. Add salmon and roast for an additional 10 minutes.,https://example.com/images/salmon-roasted-veg.jpg
4,Green Smoothie,A nutrient-packed smoothie to start your day or for post-workout recovery.,5,0,1,240,12.5,32.4,7.8,breakfast,Blend spinach banana green apple celery ginger and protein powder with almond milk and ice until smooth.,https://example.com/images/green-smoothie.jpg
5,Turkey and Avocado Wrap,A protein and healthy fat-rich wrap perfect for lunch on the go.,10,0,1,350,28.6,25.3,14.2,lunch,Spread whole-grain wrap with mashed avocado. Layer with turkey slices lettuce tomato and a sprinkle of feta cheese. Roll up and enjoy.,https://example.com/images/turkey-avocado-wrap.jpg
6,Vegetable and Chickpea Stir-Fry,A plant-based dinner rich in fiber and protein.,15,15,4,320,15.8,42.3,10.5,dinner,Sauté onion and garlic in olive oil. Add bell peppers broccoli and carrots. Stir in drained chickpeas and season with soy sauce ginger and chili flakes. Serve over brown rice or quinoa.,https://example.com/images/vegetable-chickpea-stirfry.jpg
7,Quinoa and Black Bean Bowl,A complete protein meal perfect for vegetarians.,15,25,4,380,16.5,54.2,12.7,dinner,Cook quinoa according to package instructions. Sauté bell peppers corn and onions. Add drained black beans and season with cumin chili powder and lime juice. Serve quinoa topped with vegetable mixture avocado slices and cilantro.,https://example.com/images/quinoa-black-bean-bowl.jpg
8,Greek Yogurt Parfait,A protein-rich snack or light breakfast.,5,0,1,220,18.2,24.5,6.3,snack,Layer Greek yogurt with berries honey and granola. Repeat layers in a glass or jar.,https://example.com/images/greek-yogurt-parfait.jpg
9,Baked Sweet Potato with Tuna,A balanced meal combining complex carbs and lean protein.,10,45,2,310,22.5,38.7,8.9,lunch,Bake sweet potatoes at 400°F for 45 minutes. Mix canned tuna with Greek yogurt diced celery and seasonings. Slice open sweet potatoes and top with tuna mixture.,https://example.com/images/sweet-potato-tuna.jpg
10,Protein Energy Balls,Perfect pre-workout snack or quick energy boost.,15,0,12,120,4.5,12.8,7.2,snack,Mix oats protein powder peanut butter honey and dark chocolate chips in a bowl. Roll into small balls and refrigerate for at least 30 minutes before serving.,https://example.com/images/protein-energy-balls.jpg